Preço Ideal,,Preço Ajustado para vendas,,Custo Despesas,,Lucro Bruto
"R$ 78,29",,"R$ 79,90",,"R$ 13,72",,"R$ 40,75"
"R$ 223,67",,"R$ 229,90",,"R$ 39,19",,"R$ 140,43"
"R$ 8.342,55",,"R$ 8.349,90",,"R$ 1.461,61",,"R$ 5.847,14"
